w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,quantyta,berid,left,3,,,,,,,,,,,,,1,30,110,52,,,,,,,,,,,,,,,,,,,,,,,,,None,210.38283031000174,None,,,,,,,209.63153959601186,None,209.63153959601186,None,left,1,0.7498728219943587,209.63153959601186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,ash,blue,right,2,,,,,,,,,,,,,1,31,111,38,,,,,,,,,,,,,,,,,,,,,,,,,None,211.93390487600118,None,,,,,,,210.8857725400012,None,210.8857725400012,None,right,1,1.0467211450013565,210.8857725400012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,busg,data,left,4,,,,,,,,,,,,,1,32,112,78,,,,,,,,,,,,,,,,,,,,,,,,,None,213.16415941000741,None,,,,,,,212.43751083200914,None,212.43751083200914,None,left,1,0.7252421279990813,212.43751083200914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,actor,axe,right,2,,,,,,,,,,,,,1,33,113,24,,,,,,,,,,,,,,,,,,,,,,,,,None,220.15979144201265,None,,,,,,,213.6675266000093,None,213.6675266000093,None,right,1,6.490752758996678,213.6675266000093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,capmpiwity,nney,left,3,,,,,,,,,,,,,1,34,114,44,,,,,,,,,,,,,,,,,,,,,,,,,None,221.3547535650141,None,,,,,,,220.6632555660035,None,220.6632555660035,None,left,1,0.6900856229913188,220.6632555660035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,mabapine,environment,left,4,,,,,,,,,,,,,1,35,115,77,,,,,,,,,,,,,,,,,,,,,,,,,None,222.74312871100847,None,,,,,,,221.85783476600773,None,221.85783476600773,None,left,1,0.8838438329985365,221.85783476600773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,mute,bygknner,left,5,,,,,,,,,,,,,1,36,116,65,,,,,,,,,,,,,,,,,,,,,,,,,None,223.85299069400935,None,,,,,,,223.24646248201316,None,223.24646248201316,None,left,1,0.6051088960084599,223.24646248201316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,continent,africa,right,1,,,,,,,,,,,,,1,37,117,2,,,,,,,,,,,,,,,,,,,,,,,,,None,225.01135047900607,None,,,,,,,224.35630761001084,None,224.35630761001084,None,right,1,0.653640781994909,224.35630761001084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,adorable,bckpwck,left,5,,,,,,,,,,,,,1,38,118,59,,,,,,,,,,,,,,,,,,,,,,,,,None,226.44033377700543,None,,,,,,,225.5148475770111,None,225.5148475770111,None,left,1,0.9240679689974058,225.5148475770111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,caklqblower,fashion,left,4,,,,,,,,,,,,,1,39,119,79,,,,,,,,,,,,,,,,,,,,,,,,,None,227.81805211900792,None,,,,,,,226.9438447220018,None,226.9438447220018,None,left,1,0.8727827689872356,226.9438447220018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
