w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,restresp.rt,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,inquire,blush,right,2,,,,,,,,,,,,,0,57,57,39,,,,,,,,,,,,,,,,,,,,,,,,,None,259.7073895979993,None,,,,,,,258.03579524600354,None,258.03579524600354,None,right,1,1.6700443480076501,258.03579524600354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,cricket,blow,right,2,,,,,,,,,,,,,0,58,58,37,,,,,,,,,,,,,,,,,,,,,,,,,None,261.09935300500365,None,,,,,,,260.2108442700119,None,260.2108442700119,None,right,1,0.8868380890053231,260.2108442700119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,subtraction,addition,right,1,,,,,,,,,,,,,0,59,59,1,,,,,,,,,,,,,,,,,,,,,,,,,None,262.2513290490024,None,,,,,,,261.60289102200477,None,261.60289102200477,None,right,1,0.6468865149945486,261.60289102200477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,rug,carpet,right,1,,,,,,,,,,,,,0,60,60,15,,,,,,,,,,,,,,,,,,,,,,,,,None,263.3872386889998,None,,,,,,,262.7547782150068,None,262.7547782150068,None,right,1,0.6309134929906577,262.7547782150068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,seem,bitch,right,2,,,,,,,,,,,,,0,61,61,34,,,,,,,,,,,,,,,,,,,,,,,,,None,264.4621340300073,None,,,,,,,263.8905588970083,None,263.8905588970083,None,right,1,0.5698108469950967,263.8905588970083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,cauliflower,broccoli,right,1,,,,,,,,,,,,,0,62,62,12,,,,,,,,,,,,,,,,,,,,,,,,,None,266.983643672007,None,,,,,,,264.96608728999854,None,264.96608728999854,None,right,1,2.0160384829941904,264.96608728999854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,mug,beer,right,1,,,,,,,,,,,,,0,63,63,7,,,,,,,,,,,,,,,,,,,,,,,,,None,268.09358593700745,None,,,,,,,267.48694473100477,None,267.48694473100477,None,right,1,0.6050873329950264,267.48694473100477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,inventor,leab,left,5,,,,,,,,,,,,,0,64,64,54,,,,,,,,,,,,,,,,,,,,,,,,,None,269.29659466200974,None,,,,,,,268.59706855400873,None,268.59706855400873,None,right,0,0.6977405970101245,268.59706855400873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,frugtry,cheat,left,4,,,,,,,,,,,,,0,65,65,70,,,,,,,,,,,,,,,,,,,,,,,,,None,270.3608724689984,None,,,,,,,269.8001449190051,None,269.8001449190051,None,right,0,0.5592087880067993,269.8001449190051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,adventure,bnat,left,5,,,,,,,,,,,,,0,66,66,62,,,,,,,,,,,,,,,,,,,,,,,,,None,272.316350773006,None,,,,,,,270.8643405340117,None,270.8643405340117,None,left,1,1.4504497720045038,270.8643405340117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
