w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,uneven,dival,left,5,,,,,,,,,,,,,0,75,75,55,,,,,,,,,,,,,,,,,,,,,,,,,None,181.79605654299667,None,,,,,,,179.8501464620058,None,179.8501464620058,None,left,1,1.9443086859973846,179.8501464620058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,actor,axe,right,2,,,,,,,,,,,,,0,76,76,24,,,,,,,,,,,,,,,,,,,,,,,,,None,183.0184905990027,None,,,,,,,182.30009856300603,None,182.30009856300603,None,right,1,0.7168085500015877,182.30009856300603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,disbelieve,believe,right,1,,,,,,,,,,,,,0,77,77,8,,,,,,,,,,,,,,,,,,,,,,,,,None,184.32402423500025,None,,,,,,,183.52265544699912,None,183.52265544699912,None,right,1,0.7997673560021212,183.52265544699912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,displfow,pcycce,left,3,,,,,,,,,,,,,0,78,78,51,,,,,,,,,,,,,,,,,,,,,,,,,None,185.48182480799733,None,,,,,,,184.8283470000024,None,184.8283470000024,None,left,1,0.6518887959973654,184.8283470000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,valuable,devil,right,2,,,,,,,,,,,,,0,79,79,20,,,,,,,,,,,,,,,,,,,,,,,,,None,186.73795768700074,None,,,,,,,185.98558170199976,None,185.98558170199976,None,right,1,0.7507710610079812,185.98558170199976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,harmful,cownr,left,5,,,,,,,,,,,,,1,0,80,61,,,,,,,,,,,,,,,,,,,,,,,,,None,188.59336747099587,None,,,,,,,187.24192752300587,None,187.24192752300587,None,left,1,1.3498065659950953,187.24192752300587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,continent,africa,right,1,,,,,,,,,,,,,1,1,81,2,,,,,,,,,,,,,,,,,,,,,,,,,None,189.89705170500383,None,,,,,,,189.09722879099718,None,189.09722879099718,None,right,1,0.7982267829938792,189.09722879099718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,uneven,dival,left,5,,,,,,,,,,,,,1,2,82,55,,,,,,,,,,,,,,,,,,,,,,,,,None,191.07550166700094,None,,,,,,,190.40147343400167,None,190.40147343400167,None,left,1,0.6723853790026624,190.40147343400167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,imhge,eyes,left,4,,,,,,,,,,,,,1,3,83,75,,,,,,,,,,,,,,,,,,,,,,,,,None,192.53766060400812,None,,,,,,,191.57943974000227,None,191.57943974000227,None,left,1,0.9565965889923973,191.57943974000227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,mabapine,environment,left,4,,,,,,,,,,,,,1,4,84,77,,,,,,,,,,,,,,,,,,,,,,,,,None,194.17967409300036,None,,,,,,,193.0413763819961,None,193.0413763819961,None,left,1,1.1366530600062106,193.0413763819961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
